RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
715,23,13,9,11
716,10,6,5,9
717,32,20,19,25
718,18,12,10,14
719,24,11,12,13
720,10,6,5,8
721,30,18,11,19
722,32,17,10,16
723,19,9,7,11
724,27,14,6,18
725,38,20,17,21
726,20,12,10,16
727,20,14,12,16
728,10,6,5,8
729,21,11,7,16
730,27,16,13,14
731,10,6,5,8
732,26,13,13,14
733,29,14,6,12
734,16,9,10,15
735,38,27,18,29
736,10,6,5,8
737,22,6,6,14
738,31,18,6,20
739,32,18,16,18
740,27,10,7,10
741,27,19,12,18
742,21,12,9,13
743,15,8,8,10
744,12,6,5,8
745,14,6,5,11
746,20,14,9,11
747,14,6,6,10
748,31,15,10,15
749,19,10,10,15
750,10,6,5,8
751,33,26,18,24
752,25,11,7,10
753,25,14,9,12
754,10,6,5,9
755,30,13,8,12
756,34,18,16,20
757,17,2,4,8
758,32,14,12,18
759,24,13,15,18
760,13,6,4,12
761,31,18,16,20
762,29,16,12,18
763,10,6,6,9
764,13,6,4,9
765,22,12,10,15
766,14,7,5,11
767,15,11,6,10
768,15,7,6,8
769,13,7,5,8
770,22,14,10,13
771,10,6,5,9
772,24,12,8,15
773,18,8,5,10
774,23,13,13,14
775,14,11,6,11
776,14,6,5,9
777,11,15,6,15
778,14,10,7,9
779,25,17,7,12
780,40,21,16,25
781,18,7,5,14
782,17,9,4,11
783,29,15,15,20
784,25,16,10,16
785,12,9,6,12
786,14,9,5,11
787,27,9,5,9
788,10,6,5,8
789,32,19,14,14
790,11,6,5,12
791,16,6,8,10
792,20,11,7,11
793,17,10,7,12
794,18,11,7,8
795,21,10,6,12
796,19,16,7,14
797,11,6,4,8
798,29,15,16,19
799,11,8,7,9
800,27,17,19,23
801,26,12,9,13
802,22,15,3,14
803,17,8,7,12
804,13,8,5,8
805,25,17,11,17
806,14,10,5,9
807,13,8,7,10
808,10,10,8,6
809,31,19,12,15
810,11,6,5,8
811,20,9,6,10
812,25,13,9,12
813,27,10,8,15
814,17,8,7,12
815,35,20,17,18
816,21,15,12,14
817,10,9,5,10
818,10,6,5,9
819,28,10,13,15
820,16,8,3,12
821,14,7,5,8
822,24,14,11,13
823,21,12,9,15
824,11,6,5,8
825,10,3,3,6
826,22,12,8,11
827,13,8,8,9
828,31,28,20,21
829,22,12,9,13
830,14,8,6,10
831,33,18,14,20
832,13,8,6,8
833,23,13,13,16
834,22,8,6,9
835,11,6,4,8
836,29,20,10,17
837,12,6,6,10
838,12,7,4,10
839,10,6,5,10
840,21,15,12,15
841,18,10,6,10
842,45,17,17,17
843,40,19,12,16
844,24,13,12,13
845,12,8,5,12
846,16,6,6,10
847,14,6,5,8
848,16,9,5,11
849,27,16,15,16
850,35,17,20,22
851,17,13,7,10
852,21,10,7,8
853,13,2,11,7
854,17,9,5,9
855,15,6,7,9
856,10,6,5,8
857,10,5,5,10
858,16,8,6,11
859,23,13,10,14
860,35,25,17,19
861,38,26,19,31
862,16,9,8,9
863,31,19,10,21
864,39,22,18,21
865,36,26,11,13
866,19,10,7,12
867,27,23,9,18
